,(Doc complete) Byets in,(Fully loaded) Bytes in
0,0.417345714551,0.361054812596
1,0.393374965178,0.41880871803
2,0.169084408952,0.146761531903
3,0.0532116259634,0.0468206929367
4,0.35526446281,0.299385576443
5,0.0839921069737,0.071593769456
6,0.127318413966,0.141638806008
7,0.313750208933,0.2647606466
8,0.152754294735,0.129031685185
9,0.036470981521,0.0493322595368
10,0.035690686229,0.0315068883252
11,0.192325099824,0.209943669496
12,0.285896369208,0.257118921814
13,0.14661779181,0.136653538373
14,0.271888940477,0.230910474382
15,0.0923469217198,0.0778125626366
16,0.0923643792367,0.0778272707486
17,0.894403844368,1.0
18,0.0935819481846,0.0792470729684
19,0.016051815396,0.0140053302824
20,0.0801612034544,0.113398917952
21,0.346263162782,0.292203636628
22,0.0132736558641,0.0112894148065
23,0.035692821989,0.0315079836102
24,0.0356963506361,0.0315116606382
25,0.404224347665,0.341343282484
26,0.000314328164175,0.00024385736824
27,0.157753180425,0.132975649782
28,0.377637292228,0.32154905836
29,0.309497260656,0.263225839462
30,0.0,0.0
31,0.191778716687,0.204600008981
32,0.136550097502,0.503298528829
33,0.0598104745102,0.0610026770329
34,0.0737628377751,0.251634751889
35,0.0184101587891,0.0306150134462
36,0.244275884483,0.205995636698
37,1.0,0.847266739905
38,0.0640129074194,0.0546851517384
39,0.708090537654,0.601835368973
40,0.735821431888,0.626382034448
41,0.0614668957192,0.0947497359972
42,0.459243755223,0.389484184946
43,0.13460497725,0.122300142184
44,0.0966645928127,0.0840090589453
45,0.499513325286,0.461561522703
46,0.0395334757173,0.0334737071374
47,0.0267368372179,0.0332016070647
